Animal_id Breed FX2 FX3 FX4 FX5 FX6 FX7 NAVEL COLOR Management_group Sex Proportion_taurine prob hap1 hap2
012125 TC PTR01 10 Alexandria 0 NA Alexandria 7 4 HD1__10842 Heifer_[H] 0.603887 0.915425796265155 72 129
012130 TC NPG02 10 Alexandria 0 NA NA 9 2 HD1__13322 Steer_[S] 0.572067 0.915425796265155 72 129
012133 TC PTR01 10 Alexandria 0 NA Alexandria 7 4 HD1__482 Heifer_[H] 0.702916 1 129 129
012134 TC PTR01 10 Alexandria 0 NA Alexandria 8.5 2 HD1__10852 Heifer_[H] 0.762822 1 72 72
012136 TC PBP01 9 Alexandria 0 NA Alexandria 7.5 2 HD1__10862 Heifer_[H] 0.702508 1 72 72
012140 TC PBP01 10 Alexandria 0 NA NA 8.5 2 HD1__10867 Heifer_[H] 0.649251 0.997867359772814 30 72
012141 TC NPG02 10 Alexandria 0 NA NA 8 4 HD1__13324 Steer_[S] 0.671793 0.948690541236458 129 123
012142 TC NPG06 10 Alexandria 0 NA Alexandria 8 6 HD1__13325 Steer_[S] 0.629742 1 72 74
012144 TC PTR01 10 Alexandria 0 NA Alexandria 7.5 5.5 HD1__484 Heifer_[H] 0.670829 0.941138983460667 30 129
012148 TC NPG07 10 Alexandria 0 NA Alexandria 9 2 HD1__13326 Steer_[S] 0.688296 0.997867359772814 72 30
012154 TC NPG07 10 Alexandria 0 NA Alexandria 5.66667 4 HD1__10499 Steer_[S] 0.686474 0.965370024397394 129 93
012156 TC NPG07 10 Alexandria 0 NA Alexandria 8.33333 4 HD1__13328 Steer_[S] 0.64647 0.996041576102001 129 19
012157 TC PBP01 10 Alexandria 0 NA Alexandria 8.5 5.5 HD1__10902 Heifer_[H] 0.69494 0.910529036437775 95 129
012159 TC PBP01 10 Alexandria 0 NA Alexandria 6.5 4 HD1__486 Heifer_[H] 0.655496 1 129 129
012164 TC PTR01 10 Alexandria 0 NA Alexandria 6.5 4 HD1__10926 Heifer_[H] 0.60594 0.915425796265155 72 129
012165 TC NPG06 10 Alexandria 0 NA Alexandria 9 4 HD1__10501 Steer_[S] 0.716172 1 74 72
012166 TC NPG07 10 Alexandria 0 NA Alexandria 7.5 5.5 HD1__10502 Steer_[S] 0.662366 0.991514368547679 129 145
012168 TC PBP01 10 Alexandria 0 NA Alexandria 7.5 4 HD1__10938 Heifer_[H] 0.674349 0.991514368547679 129 145
012171 TC PBP01 10 Alexandria 0 NA Alexandria 9 2 HD1__488 Heifer_[H] 0.689207 0.970225887768845 63 72
012173 TC NPG07 10 Alexandria 0 NA Alexandria 6.33333 4.33333 HD1__13330 Steer_[S] 0.643074 1 72 72
012176 TC NPG02 10 Alexandria 0 NA NA 9 1.5 HD1__35 Steer_[S] 0.710472 0.997867359772814 72 30
012177 TC PTR01 10 Alexandria 0 NA Alexandria 8 4 HD1__10891 Heifer_[H] 0.607857 0.915425796265155 72 129
012180 TC PBP01 10 Alexandria 0 NA Alexandria 6.5 3.5 HD1__490 Heifer_[H] 0.680516 0.915425796265155 72 129
012184 TC PTR01 10 Alexandria 0 NA Alexandria 7 3.5 HD1__10939 Heifer_[H] 0.713049 0.915425796265155 129 72
012187 TC NPG06 10 Alexandria 0 NA Alexandria 6 2 HD1__10503 Steer_[S] 0.644436 0.915425796265155 129 72
012189 TC PTR01 10 Alexandria 0 NA Alexandria 8.5 3.5 HD1__10869 Heifer_[H] 0.66472 1 72 76
012192 TC NPG02 10 Alexandria 0 NA NA 9 2 HD1__13332 Steer_[S] 0.720728 1 72 73
012194 TC PBP01 10 Alexandria 0 NA Alexandria 7 4 HD1__10880 Heifer_[H] 0.589858 0.912029322215088 9 47
012195 TC NPG07 10 Alexandria 0 NA Alexandria 5.33333 4 HD1__37 Steer_[S] 0.631615 0.983221058222358 22 129
012200 TC NPG06 10 Alexandria 0 NA Alexandria 8 1 HD1__38 Steer_[S] 0.693612 1 91 72
012201 TC PTR01 10 Alexandria 0 NA Alexandria 8.5 1.5 HD1__10904 Heifer_[H] 0.727298 1 72 72
012202 TC PTR01 10 Alexandria 0 NA Alexandria 8.5 2 HD1__10731 Heifer_[H] 0.785833 0.932345610086123 72 126
012203 TC NPG06 10 Alexandria 0 NA Alexandria 8 4 HD1__13333 Steer_[S] 0.631124 0.991514368547679 129 145
012206 TC NPG06 10 Alexandria 0 NA Alexandria 8 4.33333 HD1__10505 Steer_[S] 0.676731 0.941138983460667 129 30
012210 TC NPG07 10 Alexandria 0 NA Alexandria 7.5 4 HD1__13335 Steer_[S] 0.677611 1 76 95
012211 TC NPG07 10 Alexandria 0 NA Alexandria 9 3.5 HD1__13336 Steer_[S] 0.665591 1 74 72
012213 TC NPG06 10 Alexandria 0 NA Alexandria 8 2 HD1__39 Steer_[S] 0.813418 0.932345610086123 72 126
012215 TC NPG02 10 Alexandria 0 NA NA 9 2 HD1__13338 Steer_[S] 0.669236 1 30 51
012217 TC NPG07 10 Alexandria 0 NA NA 5.66667 4 HD1__10506 Steer_[S] 0.713153 1 72 6
